"Postcode","郵便番号"
"postcode","郵便番号"
"Prefecture Name","都道府県"
"City Ward","市区町村"
"Area","町域"
"Prefecture Name Kana","都道府県(カナ)"
"City Ward Kana","市区町村(カナ)"
"Area Kana","町域(カナ)"
"Edit","編集"
"Action","アクション"
"Manage Postcode","郵便番号管理"
"Import Postcode","郵便番号インポート"
"Postcode List","郵便番号一覧"
"Add Postcode","郵便番号を追加"
"Add postcode","郵便番号を追加"
"Update Postcode: %s","「%s」の編集"
"Postcode Information","郵便番号情報"
"Data file","データファイル"
"Import","インポート"
"Postcode does not exists","郵便番号は存在していません。"
"Postcode was saved successfully.","郵便番号情報を保存しました。"
"Unable to find postcode to save.","際に郵便番号データが見つかりませんでした。"
"Upload file not found.","アップロードされたファイルが見つかりませんでした。"
"CSV delimiter is not valid","不正なCSV区切り記号です。"
"Postcode imported successfully.","郵便番号をインポートしました。"
"Delete","削除"
"Are you sure?","よろしいですか？"
"Postcode was delete successfully.","郵便番号を削除しました。"
"Get Address","住所を取得"
"Enable Postcode Auto Filling","郵便番号自動入力を有効にする"
